"","week","deathrate"
"1",0,0
"2",1,0
"3",2,0
"4",3,0
"5",4,0
"6",5,0.00663507109004739
"7",6,0.0266378689704824
"8",7,0.0473535353535354
"9",8,0.0935018885377322
"10",9,0.162479909518424
"11",10,0.213777511802646
"12",11,0.180542920029347
"13",12,0.153314531874671
"14",13,0.142452161587527
"15",14,0.128875295426109
"16",15,0.124137137597791
"17",16,0.145147140920329
"18",17,0.146736885584469
"19",18,0.136046033703247
"20",19,0.0873489590915708
"21",20,0.076475620188195
"22",21,0.120958429561201
"23",22,0.0813737623762376
"24",23,0.0344897135941912
"25",24,0.0272139192505019
"26",25,0.0238700841322637
"27",26,0.0123071589530248
"28",27,0.013187138835383
"29",28,0.0092904268210583
"30",29,0.00866943083301922
"31",30,0.00501907247540655
"32",31,0.00485436893203883
"33",32,0.00390218522372529
"34",33,0.0056386213887481
"35",34,0.00646774156556042
"36",35,0.00408315588435449
"37",36,0.00579148832200675
"38",37,0.00744424240175159
"39",38,0.00990312304157092
"40",39,0.0131717295302912
"41",40,0.0166251828770116
"42",41,0.0167484623749331
"43",42,0.0257117634076363
"44",43,0.0308592036648959
"45",44,0.0265271378078795
"46",45,0.020075955730989
"47",46,0.0149161257691983
"48",47,0.0123149676116352
"49",48,0.011882102290261
"50",49,0.0198036668725112
"51",50,0.0290290086588456
"52",51,0.0410596594564456
"53",52,0.0474274636921219
"54",53,0.0484889470494726
"55",54,0.0474269351603891
"56",55,0.0383094917879121
"57",56,0.040426080574455
"58",57,0.0295640226698398
"59",58,0.0210883166737293
"60",59,0.0143082615332868
"61",60,0.0100188979212287
"62",61,0.00988648846576346
"63",62,0.0205217391304348
"64",63,0.00958394407486752
"65",64,0.0096189192500919
"66",65,0.00673495159253543
"67",66,0.00441048577463039
"68",67,0.00613352205708894
