"","week","deathrate"
"1",0,0
"2",1,0.0543478260869565
"3",2,0.0932203389830508
"4",3,0.0907801418439716
"5",4,0.0949839914621131
"6",5,0.0777142857142857
"7",6,0.086450540315877
"8",7,0.0784230606189063
"9",8,0.0496422182468694
"10",9,0.0456816559600286
"11",10,0.0384615384615385
"12",11,0.0555084745762712
"13",12,0.0551142005958292
"14",13,0.0480911200168741
"15",14,0.0419924703156675
"16",15,0.0444210802996452
"17",16,0.037389181549531
"18",17,0.0395498392282958
"19",18,0.0375547322330751
"20",19,0.0442746686303387
"21",20,0.0562721702676556
"22",21,0.0378656126482213
"23",22,0.0342743421537554
"24",23,0.0295739348370927
"25",24,0.0372772630078403
"26",25,0.0376900039554727
"27",26,0.0316255239869585
"28",27,0.0294838254225323
"29",28,0.0307621140279866
"30",29,0.0280568967767193
"31",30,0.0265203962083289
"32",31,0.0241119337091625
"33",32,0.023116973273169
"34",33,0.0274293004465235
"35",34,0.0275427244068359
"36",35,0.0282550109482904
"37",36,0.0208426176682321
"38",37,0.02065938417874
"39",38,0.025136202473264
"40",39,0.0226095713052652
"41",40,0.0253792577044175
"42",41,0.0217198868665933
"43",42,0.0273067561210088
"44",43,0.0302308466961035
"45",44,0.0232336888488308
"46",45,0.0232570026579432
"47",46,0.0234684283452098
"48",47,0.0232330395434438
"49",48,0.0206327372764787
"50",49,0.0242255820890836
"51",50,0.0227535037098104
"52",51,0.0288456540946969
"53",52,0.0262052633930566
"54",53,0.0287250947316954
"55",54,0.0272370697005871
"56",55,0.025321698790523
"57",56,0.0247170767411745
"58",57,0.033980307831598
"59",58,0.0239869901070606
"60",59,0.0316508682384077
"61",60,0.0319219685213922
"62",61,0.0322650615476384
"63",62,0.0418091273970566
"64",63,0.0441176470588235
