,continent,location,life_expectancy,death_rate,,,,,Positive,Neutral,Negative
120,Asia,Nepal,High,Positive,,,,,,,
121,Europe,Netherlands,Very high,Positive,,,,,,,
122,Oceania,New Zealand,Very high,Positive,,,,,,,
123,North America,Nicaragua,High,Neutral,,,,,,,
124,Africa,Niger,Medium,Neutral,,,,,,,
125,Africa,Nigeria,Medium,Positive,,,,,,,
126,Europe,North Macedonia,Very high,Neutral,,,,,,,
127,Europe,Norway,Very high,Positive,,,,,,,
128,Asia,Oman,Very high,Positive,,,,,,,
129,Asia,Pakistan,High,Neutral,,,,,,,
130,Asia,Palestine,High,Positive,,,,,,,
131,North America,Panama,Very high,Neutral,,,,,,,
132,Oceania,Papua New Guinea,Medium,Positive,,,,,,,
133,South America,Paraguay,High,Neutral,,,,,,,
134,South America,Peru,Very high,Neutral,,,,,,,
135,Asia,Philippines,High,Neutral,,,,,,,
136,Europe,Poland,Very high,Neutral,,,,,,,
137,Europe,Portugal,Very high,Neutral,,,,,,,
138,Asia,Qatar,Very high,Positive,,,,,,,
139,Europe,Romania,Very high,Neutral,,,,,,,
140,Europe,Russia,High,Neutral,,,,,,,
141,Africa,Rwanda,High,Positive,,,,,,,
142,North America,Saint Kitts and Nevis,Very high,Positive,,,,,,,
143,North America,Saint Lucia,Very high,Neutral,,,,,,,
144,North America,Saint Vincent and the Grenadines,High,Positive,,,,,,,
145,Oceania,Samoa,High,Positive,,,,,,,
146,Europe,San Marino,Very high,Neutral,,,,,,,
147,Africa,Sao Tome and Principe,High,Neutral,,,,,,,
148,Asia,Saudi Arabia,Very high,Neutral,,,,,,,
149,Africa,Senegal,High,Neutral,,,,,,,
150,Europe,Serbia,Very high,Positive,,,,,,,
151,Africa,Seychelles,High,Positive,,,,,,,
152,Africa,Sierra Leone,Medium,Neutral,,,,,,,
153,Asia,Singapore,Very high,Positive,,,,,,,
154,Europe,Slovakia,Very high,Neutral,,,,,,,
155,Europe,Slovenia,Very high,Neutral,,,,,,,
156,Oceania,Solomon Islands,High,Positive,,,,,,,
157,Africa,Somalia,Medium,Negative,,,,,,,
158,Africa,South Africa,Medium,Neutral,,,,,,,
159,Asia,South Korea,Very high,Positive,,,,,,,
160,Africa,South Sudan,Medium,Positive,,,,,,,
161,Europe,Spain,Very high,Neutral,,,,,,,
162,Asia,Sri Lanka,Very high,Positive,,,,,,,
163,Africa,Sudan,High,Negative,,,,,,,
164,South America,Suriname,High,Neutral,,,,,,,
165,Europe,Sweden,Very high,Positive,,,,,,,
166,Europe,Switzerland,Very high,Neutral,,,,,,,
167,Asia,Syria,High,Negative,,,,,,,
168,Asia,Taiwan,Very high,Positive,,,,,,,
169,Asia,Tajikistan,High,Positive,,,,,,,
170,Africa,Tanzania,High,Neutral,,,,,,,
171,Asia,Thailand,Very high,Positive,,,,,,,
172,Asia,Timor,High,Positive,,,,,,,
173,Africa,Togo,Medium,Positive,,,,,,,
174,North America,Trinidad and Tobago,High,Neutral,,,,,,,
175,Africa,Tunisia,Very high,Neutral,,,,,,,
176,Asia,Turkey,Very high,Positive,,,,,,,
177,Africa,Uganda,Medium,Positive,,,,,,,
178,Europe,Ukraine,High,Neutral,,,,,,,
179,Asia,United Arab Emirates,Very high,Positive,,,,,,,
180,Europe,United Kingdom,Very high,Neutral,,,,,,,
181,North America,United States,Very high,Neutral,,,,,,,
182,South America,Uruguay,Very high,Positive,,,,,,,
183,Asia,Uzbekistan,High,Positive,,,,,,,
184,Oceania,Vanuatu,High,Negative,,,,,,,
185,Europe,Vatican,Very high,Positive,,,,,,,
186,South America,Venezuela,High,Positive,,,,,,,
187,Asia,Vietnam,Very high,Positive,,,,,,,
188,Asia,Yemen,High,Negative,,,,,,,
189,Africa,Zambia,Medium,Positive,,,,,,,
190,Africa,Zimbabwe,Medium,Neutral,,,,,,,
